system:index,area_alerta_km2,bound_area_ha,id_gee,ndfi_diff,ndfi_t0,ndfi_t1,sensor,src,status,t0_cloudmask_area_ha,t0_cloudmask_area_perc,t0_period,t1_cloudmask_area_ha,t1_cloudmask_area_perc,t1_period,version,year,.geo
000000000000000017c2_2021_08_3,28107.766745913996,32.759583817485755,000000000000000017c2,0.20498576760292053,0.7643046975135803,0.5567144751548767,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c3_2021_08_3,28096.63629447125,31.95490105924712,000000000000000017c3,0.22391034364700318,0.8053599894046783,0.5867738008499146,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c4_2021_08_3,28098.507801379663,24.303859824251436,000000000000000017c4,0.3727877289056778,0.7903708815574646,0.4207823723554611,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c5_2021_08_3,28087.36831867943,26.82141424330738,000000000000000017c5,0.4584013670682907,0.803813099861145,0.31947799026966095,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c6_2021_08_3,78928.80289216775,60.60707974507665,000000000000000017c6,0.14695331454277039,0.7238630205392838,0.5884281264411079,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c7_2021_08_3,129769.90275128213,116.88936768522379,000000000000000017c7,0.3969688018163045,0.780252689665014,0.38134847581386566,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c8_2021_08_3,180708.43618966275,74.13187448796927,000000000000000017c8,0.41986082792282103,0.7839991024562291,0.3630646940539865,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c9_2021_08_3,1905671.3133719424,799.3636550188947,000000000000000017c9,0.3049912131749667,0.7909622860434872,0.4805593214084193,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ca_2021_08_3,28022.39332267988,33.91999403762231,000000000000000017ca,0.1844882071018219,0.7709786891937256,0.5909931063652039,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017cb_2021_08_3,28211.738077913484,31.118837449735462,000000000000000017cb,0.21731704473495483,0.764496237039566,0.5527998507022858,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017cc_2021_08_3,28209.430708361346,36.551732766005884,000000000000000017cc,0.20625517765680948,0.7531401216983795,0.5511952638626099,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017cd_2021_08_3,28207.189657676357,34.18130129461516,000000000000000017cd,0.21319293975830078,0.7787351012229919,0.5673897564411163,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ce_2021_08_3,28190.0541137448,27.703446880403384,000000000000000017ce,0.2719310373067856,0.7623022198677063,0.48238768180211383,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017cf_2021_08_3,28184.77694215386,28.288673090655635,000000000000000017cf,0.43758056312799454,0.7958340644836426,0.3388301432132721,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d0_2021_08_3,53658.33961119866,57.59233647871705,000000000000000017d0,0.416751891374588,0.8306022882461548,0.4133850336074829,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d1_2021_08_3,53617.18731169457,49.77079316697305,000000000000000017d1,0.4501969814300537,0.7914803475141525,0.3400463064511617,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
